NOMBRE DE ESTACION,COORDENADA CENTRAL,BORDES1,BORDE2,BORDE3,BORDE4
Terminal Chimpu Ocllo - ESTACIÓN NORTE Metropolitano,"-11.896385739118433, -77.03742955064882","-11.89649794076468, -77.03750733470845","-11.896538622051889, -77.03742955064882","-11.896347026258985, -77.03734170830563","-11.896322748700252, -77.03743357396226"
Estación Los Incas - Metropolitano,"-11.915448851579383, -77.0480515890502","-11.91528254093788, -77.04797648036157","-11.915323219413096, -77.04793624722728","-11.915573851176656, -77.04814277731812","-11.915536453258383, -77.04806231104955"
Estación Andrés Belaunde - BRT Metropolitano,"-11.935047704278102, -77.05640256661314","-11.935133004711673, -77.05646694949847","-11.93513103624044, -77.05640591988842","-11.934969621549987, -77.05637037517049","-11.934990618588339, -77.05632879455705"
Estación 22 de Agosto - Metropolitano,"-11.94664475567111, -77.06059150797019","-11.946515355474993, -77.06063312862692","-11.946824250574625, -77.06057669963073","-11.94670595036533, -77.06052698837217","-11.946493009858367, -77.06054982868017"
Estación Las Vegas - Metropolitano,"-11.954885291952515, -77.05992496686571","-11.954718009698134, -77.0599477656418","-11.95471079359855, -77.05988205152246","-11.955091126084387, -77.05991947998523","-11.955081196656147, -77.05988790354674"
Estación Universidad - Metropolitano,"-11.962783229419088, -77.06231383059324","-11.962730739787922, -77.06239632496921","-11.962718273499018, -77.06231248922127","-11.963251338209727, -77.06225655937074","-11.963227067005564, -77.062209194713"
Terminal Naranjal,"-11.982590213113186, -77.05870593297658","-11.98050693495384, -77.05936039280387","-11.980412478647189, -77.05887223077454","-11.982731896175467, -77.05840016199892","-11.982758133816338, -77.05885077310292"
Estación Izaguirre,"-11.98952581619446, -77.05696891132884","-11.989306912702043, -77.057023440749","-11.989312975300434, -77.05696766059638","-11.989768703148725, -77.05706992420954","-11.989753409122542, -77.05700738376902"
Estación Pacifico - Metropolitano,"-11.994760245267136, -77.05608522424947","-11.994431874886441, -77.05629764436101","-11.994405902070907, -77.05624074611686","-11.995259293272229, -77.05572107548683","-11.995292686786067, -77.05577607712284"
Estación Independencia,"-11.998488750594612, -77.0552623499796","-11.998187977645486, -77.05533791967858","-11.998177781946413, -77.05520762709416","-11.999289110875527, -77.05507472865807","-11.999312051103328, -77.05519199198403"
Estación Los Jazmines - Metropolitano,"-12.00167999629499, -77.05486357673895","-12.001786345425723, -77.05485162885627","-12.001731417857945, -77.05478711028985","-12.002273681015556, -77.05470466989944","-12.002278355693203, -77.0547751624072"
Estación Tomás Valle - Metropolitano,"-12.006676086912666, -77.05394953274264","-12.0065969320471, -77.05399395808739","-12.0065838138662, -77.05392757078216","-12.007057362830777, -77.05389471462622","-12.007045556956534, -77.05383771768598"
Estación El Milagro - Metropolitano,"-12.011228770497807, -77.05293535489096","-12.011142520959288, -77.0530045326367","-12.011136028158255, -77.05294478948034","-12.011515392984402, -77.05286039041816","-12.011524668401327, -77.05291728866231"
Estación Honorio Delgado - Metropolitano,"-12.017861363173944, -77.05143649877844","-12.017972115780891, -77.05142692967273","-12.0179440376595, -77.05137589444226","-12.0173481568323, -77.05158481991666","-12.017340357336355, -77.0515337846862"
Estación UNI Metropolitano,"-12.02335693285818, -77.04976860286092","-12.023331355012044, -77.04982157648773","-12.023321517378264, -77.04980213047283","-12.023461211744168, -77.04965997339833","-12.023453997482905, -77.04962711633867"
Estación parque del trabajo - metropolitano,"-12.029878117611698, -77.04420450068474","-12.028995754446804, -77.04435335944768","-12.028986930800523, -77.04421352242795","-12.030156061408912, -77.04425863114399","-12.030125178778967, -77.04413683761067"
ESTACION CAQUETA,"-12.036363773861991, -77.04365968564049","-12.03613178452695, -77.04371224479515","-12.0361304729049, -77.04363781349672","-12.03650362911624, -77.04360897975047","-12.036512154647525, -77.043678046631"
Estación Ramón Castilla,"-12.04397559341211, -77.04147247837929","-12.043839265897772, -77.04166559894576","-12.04387992886019, -77.04168638803297","-12.04405699484422, -77.04128874845591","-12.044106835006454, -77.04132026441111"
Estación 2 de Mayo - Metropolitano,"-12.047404521655396, -77.04268141134541","-12.047346132769981, -77.0426961761684","-12.04738090062656, -77.04265794223558","-12.047489796148213, -77.04266532071387","-12.047483236178282, -77.04265056375733"
Estación Tacna - Metropolitano,"-12.04652508414136, -77.03721608558855","-12.046481137145026, -77.0373106535843","-12.046457523830586, -77.03728919134414","-12.046645118437985, -77.03697933025165","-12.046670043585738, -77.03699676832179"
Estación Quilca,"-12.051502201029425, -77.0423073966827","-12.050929975204323, -77.04237981529603","-12.050929975204323, -77.04231666241903","-12.052154166428483, -77.04221291126395","-12.052200487067852, -77.04228057506074"
Estación España,"-12.057767045106054, -77.04173304543404","-12.057587345492141, -77.04184168808567","-12.057571605374235, -77.04176523584934","-12.05806279610011, -77.04172500002825","-12.05806607488733, -77.0418014429834"
Estación Jirón de la Unión,"-12.048388452671988, -77.03424691041485","-12.0482907182856, -77.03440721010077","-12.04826841647432, -77.03439312519112","-12.048497960379986, -77.03403232959394","-12.04851304333848, -77.03405043450437"
Estación Colmena,"-12.052376520677939, -77.03291439898824","-12.052085583996263, -77.03270677286459","-12.05211740521118, -77.03266338830144","-12.052594722982207, -77.03300426701192","-12.052590177102688, -77.03305384936982"
Estación Central - Metropolitano,"-12.057661297435972, -77.03597254497392","-12.055898315977856, -77.03643156900792","-12.055940284789795, -77.03588439838164","-12.059140387362193, -77.03549816029249","-12.059150879438977, -77.03610970393363"
Estación Estadio Nacional,"-12.068592466698174, -77.03212202593951","-12.068262238241076, -77.03228971640173","-12.068209779635938, -77.03221997896898","-12.068954690866448, -77.03191688935736","-12.06897042840532, -77.03200003783489"
Estación México - Metropolitano,"-12.07662217585185, -77.02897286280694","-12.076357268057832, -77.02913647755302","-12.076337596676543, -77.02905735238895","-12.076792660927225, -77.02885082229962","-12.076784792387674, -77.02894201740399"
Estación Canadá,"-12.082241899443606, -77.02666531002866","-12.082120027331472, -77.0267468007925","-12.082095809148734, -77.026670103603","-12.082403123213552, -77.02652905251068","-12.082420277945824, -77.02662554099527"
